title,rating,num_reviews,num_published_lectures,last_update_date,duration_hours,num_subscribers,headline,technologies,days_since_last_update
BDD with Selenium Webdriver and Specflow using C#,4.4337187,1563,158,2021-10-07,29.0,11787,"Learn Behaviour Driven Development using the two most powerful tool, Webdriver and Specflow with C# as language binding!",C#,1303
The JavaScript Bible - JavaScript Bootcamp,4.582483,1564,429,2022-10-16,425.0,43133,Understand and learn JavaScript and ES6 in a one challenge-based JavaScript Bootcamp course!,JavaScript,929
GitLab CI - A Complete Hands-On for CI/CD Pipelines & DevOps,4.3798785,1560,81,2023-01-11,8.0,22855,"Learn A to Z of GitLab CI CD in DevOps with Real-time HandsOn; Build & Deploy GitLab CICD pipeline in Docker, Heroku etc","GitLab, CI/CD",842
MySQL for Beginners,3.9573522,1559,58,2015-03-12,6.0,22457,"Learn how to Create, Use and Handle a MySQL Database from Scratch.",MySQL,3704
Build Enterprise Applications with Angular 2 (and Angular 4),4.599467,1558,136,2018-04-13,95.0,12143,"Firebase, Authentication, Ionic, Integration with ASP.NET Core, Performance Optimization, Redux and Unit Testing",Angular,2576
DevOps: CI/CD using AWS CodePipeline & Elastic Beanstalk,4.331647,1556,62,2018-02-07,45.0,15439,"Learn Automated Continuous Deployment using AWS CodePipleine, Elastic Beanstalk & Lambda (includes example PHP project).","AWS, CI/CD",2641
The Complete Python/PostgreSQL Course 2.0,4.549814,1555,153,2022-09-28,135.0,14817,Take the next step in your Python development by leveraging the power of PostgreSQL and databases!,"Python, PostgreSQL",947
"Event-Driven Microservices, CQRS, SAGA, Axon, Spring Boot",4.6057334,1555,164,2023-01-13,9.0,18773,"Learn to build distributed Event-driven Microservices, CQRS, Event Sourcing, SAGA and Transactions.",Spring Boot,840
MERN Stack React Node Ecommerce from Scratch to Deployment,3.8951123,1553,165,2023-01-27,165.0,9158,MERN Stack React Node MongoDB powered E-Commerce App with PayPal and Credit Card Payment along with Admin Dashboard,React,826
Object Oriented Programming with C# - Beginner to Advanced,4.346407,1553,73,2020-09-24,55.0,10697,"Detailed step-by-step guide to Classes, Interfaces and many other OOP Concepts - Object-Oriented Programming Concepts",C#,1681
The Complete Guide to Advanced React Component Patterns,4.2621737,1548,61,2020-07-16,6.0,12081,Build reusable React components without relying on if statements or more props! Use hooks & trusted advanced patterns!,React,1751
Python Programming: The Complete Python Bootcamp 2023,4.639918,1546,362,2023-02-05,255.0,19198,"Master Python programming from scratch with 100% hands-on projects. Learn in-demand technologies: AI, LLMs, Data Science",Python,817
